Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
River Falls Hi,River Falls,4893,11,0080,High School,09,12,Kit  Luedtke,Principal,818 Cemetery Rd  River Falls WI  54022-2568,"818 Cemetery Rd River Falls WI  54022-2568  ",River Falls,54022,2568,"818 Cemetery Rd River Falls WI  54022-2568  ",River Falls,47,Pierce,715-425-1830,N/A,7154251827,kit.luedtke@rfsd.k12.wi.us,www.rfsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513050,01724,Public school
River Falls Public Montessori,River Falls,4893,11,0110,Elementary School,K4,06,Nate  Schurman,Principal,421 W Maple St  River Falls WI  54022,"421 W Maple St River Falls WI  54022  ",River Falls,54022,,"421 W Maple St River Falls WI  54022  ",River Falls,47,Pierce,715-425-1810,N/A,7154250783,nate.schurman@rfsd.k12.wi.us,www.rfsd.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5513050,02562,Public school
River Heights El,Menomonie Area,3444,11,0220,Elementary School,PK,05,Peg  Kolden,Principal,615 24th Ave W  Menomonie WI  54751-3899,"615 24th Ave W Menomonie WI  54751-3899  ",Menomonie,54751,3899,"615 24th Ave W Menomonie WI  54751-3899  ",Menomonie,17,Dunn,715-232-3987,61022,7152322321,peg_kolden@msd.k12.wi.us,www.sdmaonline.com,Regular,No,Primarily Classroom (Supplemental Virtual),5509090,01082,Public school
River Ridge El,River Ridge,4904,03,0020,Elementary School,K4,04,Jeff  Athey,Principal,11165 County Highway P  Patch Grove WI  53817,"PO Box 78 Patch Grove WI  53817-0078  ",Patch Grove,53817,0078,"11165 County Highway P Patch Grove WI  53817  ",Patch Grove,22,Grant,608-994-2715,101,6089942891,atheyje@rrsd.k12.wi.us,www.rrsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500017,00684,Public school
River Ridge Hi,River Ridge,4904,03,0080,High School,09,12,Clay  Koenig,Principal,11165 County Highway P  Patch Grove WI  53817,"PO Box 78 Patch Grove WI  53817-0078  ",Patch Grove,53817,0078,"11165 County Highway P Patch Grove WI  53817  ",Patch Grove,22,Grant,608-994-2715,101,6089942891,koenigcl@rrsd.k12.wi.us,www.rrsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500017,00686,Public school
River Ridge Mid,River Ridge,4904,03,0040,Middle School,05,08,Clay  Koenig,Principal,11165 County Highway P  Patch Grove WI  53817-0078,"PO Box 78 Patch Grove WI  53817-0078  ",Patch Grove,53817,0078,"11165 County Highway P Patch Grove WI  53817-0078  ",Patch Grove,22,Grant,608-994-2715,103,6089942891,koenigcl@rrsd.k12.wi.us,www.rrsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500017,00685,Public school
River Trail El,Milwaukee,3619,01,0194,Elementary School,K3,08,Robin  Swan,APIC,12021 W Florist Ave  Milwaukee WI  53225-2119,"12021 W Florist Ave Milwaukee WI  53225-2119  ",Milwaukee,53225,2119,"12021 W Florist Ave Milwaukee WI  53225-2119  ",Milwaukee,40,Milwaukee,414-393-2200,N/A,4143932215,194@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01174,Public school
River Valley Early Learning,River Valley,5523,03,0160,Elementary School,K4,KG,Carla  Peterson,Principal,1370 Cherry St  Plain WI  53577,"1370 Cherry St Plain WI  53577  ",Plain,53577,,"1370 Cherry St Plain WI  53577  ",Plain,56,Sauk,608-546-2228,N/A,6085464028,jhegland@rvschools.org,www.rvschools.org,Regular,No,No,5514250,03062,Public school
River Valley El,River Valley,5523,03,0120,Elementary School,01,04,Carla  Peterson,Principal,830 W Daley St  Spring Green WI  53588,"830 W Daley St Spring Green WI  53588  ",Spring Green,53588,,"830 W Daley St Spring Green WI  53588  ",Spring Green,56,Sauk,608-588-2559,N/A,6085882550,jhegland@rvschools.org,www.rvschools.org,Regular,No,No,5514250,02346,Public school
River Valley Hi,River Valley,5523,03,0110,High School,09,12,Darby  Blakley,Principal,660 Varsity Blvd  Spring Green WI  53588-8814,"660 Varsity Blvd Spring Green WI  53588-8814  ",Spring Green,53588,8814,"660 Varsity Blvd Spring Green WI  53588-8814  ",Spring Green,56,Sauk,608-588-2554,N/A,6085882827,dblakley@rvschools.org,www.rvschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5514250,01855,Public school
River Valley Mid,River Valley,5523,03,0100,Middle School,05,08,James  Radtke,Principal,660 W Daley St  Spring Green WI  53588,"660 W Daley St Spring Green WI  53588  ",Spring Green,53588,,"660 W Daley St Spring Green WI  53588  ",Spring Green,56,Sauk,608-588-2556,N/A,6085882026,jradtke@rvschools.org,www.rvschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5514250,01856,Public school
River View Sch,Kaukauna Area,2758,06,0200,Middle School,05,08,Daniel  Joseph,Principal,101 Oak St  Kaukauna WI  54130-2186,"101 Oak St Kaukauna WI  54130-2186  ",Kaukauna,54130,2186,"101 Oak St Kaukauna WI  54130-2186  ",Kaukauna,44,Outagamie,920-766-6111,6142,9207666109,josephd@kaukaunasd.org,www.kaukauna.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507290,01700,Public school
Riverdale Acad,Riverdale,3850,03,0430,High School,06,12,Jonathan  Schmidt,Principal,800 N 6th St  Muscoda WI  53573,"235 E Elm St Muscoda WI  53573  ",Muscoda,53573,,"235 E Elm St Muscoda WI  53573  ",Muscoda,22,Grant,608-739-3116,N/A,6087394486,jschmidt@riverdale.k12.wi.us,www.riverdale.k12.wi.us,Alternative,No,Primarily Classroom (Supplemental Virtual),5510140,,Public school
Riverdale El,Riverdale,3850,03,0150,Elementary School,K4,06,Shari  Hougan,Principal,800 N 6th St  Muscoda WI  53573,"800 N 6th St Muscoda WI  53573  ",Muscoda,53573,,"800 N 6th St Muscoda WI  53573  ",Muscoda,22,Grant,608-739-3101,N/A,6087399118,shougan@riverdale.k12.wi.us,www.riverdale.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5510140,01063,Public school
Riverdale Hi,Riverdale,3850,03,0120,High School,09,12,Jonathan  Schmidt,Principal,235 E Elm St  Muscoda WI  53573,"235 E Elm St Muscoda WI  53573  ",Muscoda,53573,,"235 E Elm St Muscoda WI  53573  ",Muscoda,22,Grant,608-739-3116,3001,6087394486,jschmidt@riverdale.k12.wi.us,www.riverdale.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5510140,01328,Public school
Riverdale Jr Hi,Riverdale,3850,03,0160,Junior High School,07,08,Jonathan  Schmidt,Principal,235 E Elm St  Muscoda WI  53573,"235 E Elm St Muscoda WI  53573  ",Muscoda,53573,,"235 E Elm St Muscoda WI  53573  ",Muscoda,22,Grant,608-739-3101,N/A,6087394486,jschmidt@riverdale.k12.wi.us,www.riverdale.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5510140,01064,Public school
Riverside El,D C Everest Area,4970,09,0070,Elementary School,PK,05,Kevin  Kampmann,Principal,166543  River Rd  Ringle WI  54471,"166543  River Rd Ringle WI  54471  ",Ringle,54471,,"166543  River Rd Ringle WI  54471  ",Ringle,37,Marathon,715-359-2417,5322,7153553725,kkampmann@dce.k12.wi.us,www.dce.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513170,02288,Public school
Riverside El,Fond du Lac,1862,06,0120,Elementary School,K4,05,Jessica  Hughes,Principal,396 Linden St  Fond du Lac WI  54935-4899,"396 Linden St Fond du Lac WI  54935-4899  ",Fond du Lac,54935,4899,"396 Linden St Fond du Lac WI  54935-4899  ",Fond du Lac,20,Fond du Lac,920-929-2880,N/A,9209296912,hughesj@fonddulac.k12.wi.us,www.fonddulac.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504680,00497,Public school
Riverside El,Menomonee Falls,3437,01,0065,Elementary School,03,05,Scott  Walter,Principal,W153N8681 Margaret Rd  Menomonee Falls WI  53051-3185,"W153N8681 Margaret Rd Menomonee Falls WI  53051-3185  ",Menomonee Falls,53051,3185,"W153N8681 Margaret Rd Menomonee Falls WI  53051-3185  ",Menomonee Falls,67,Waukesha,262-255-8484,N/A,2622558393,waltsco@sdmfschools.org,www.sdmfschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5509060,00660,Public school
Riverside Hi,Milwaukee,3619,01,0029,High School,09,12,Maria  Gonzalez-Edwards,Principal,1615 E Locust St  Milwaukee WI  53211-3222,"1615 E Locust St Milwaukee WI  53211-3222  ",Milwaukee,53211,3222,"1615 E Locust St Milwaukee WI  53211-3222  ",Milwaukee,40,Milwaukee,414-906-4900,N/A,4149064915,029@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01237,Public school
Riverside Mid,Watertown Unified,6125,02,0090,Middle School,06,08,Jason  Widiker,Principal,131 Hall St  Watertown WI  53094-4114,"131 Hall St Watertown WI  53094-4114  ",Watertown,53094,4114,"131 Hall St Watertown WI  53094-4114  ",Watertown,28,Jefferson,920-262-1480,5422,9202621468,widikerj@watertown.k12.wi.us,www.watertown.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515750,02000,Public school
Riverview El,Manitowoc,3290,07,0240,Elementary School,K4,KG,Catherine A Burish,Principal,4400 Michigan Ave  Manitowoc WI  54220-3098,"4400 Michigan Ave Manitowoc WI  54220-3098  ",Manitowoc,54220,3098,"4400 Michigan Ave Manitowoc WI  54220-3098  ",Manitowoc,36,Manitowoc,920-663-9502,N/A,9206639501,burishc@mpsd.k12.wi.us,www.manitowocpublicschools.com,Regular,No,Primarily Classroom (Supplemental Virtual),5508610,02436,Public school
Riverview El,Silver Lake J1,5369,02,0020,Elementary School,K4,08,Andrea  Zackery,Principal,300 Prosser St  Silver Lake WI  53170,"PO Box 69 Silver Lake WI  53170-0069  ",Silver Lake,53170,0069,"300 Prosser St Silver Lake WI  53170  ",Silver Lake,30,Kenosha,262-889-4384,N/A,2628892083,azackery@silverlakejt1.k12.wi.us,www.silverlakejt1.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513860,01815,Public school
Riverview El,Wausau,6223,09,0300,Elementary School,K4,05,Andrew  Place,Principal,4303 Troy St  Wausau WI  54403-2200,"4303 Troy St Wausau WI  54403-2200  ",Wausau,54403,2200,"650 S 7th Ave Wausau WI  54401-5310  ",Wausau,37,Marathon,715-261-0030,N/A,7152613905,aplace@wausauschools.org,www.wausauschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5515900,02060,Public school
Riverview El,Wautoma Area,6237,05,0080,Elementary School,K4,03,Ann W Fajfer,Principal,525 S Water St  Wautoma WI  54982,"PO Box 870 Wautoma WI  54982-0870  ",Wautoma,54982,0870,"525 S Water St Wautoma WI  54982  ",Wautoma,69,Waushara,920-787-4590,4200,9207871556,fajfera@wautoma.k12.wi.us,https://www.wautomasd.org/riverview,Regular,No,Primarily Classroom (Supplemental Virtual),5515960,02073,Public school
Riverview Mid,Barron Area,0308,11,0140,Middle School,05,08,Scott  Stralka,Principal,135 W River Ave  Barron WI  54812-1063,"135 W River Ave Barron WI  54812-1063  ",Barron,54812,1063,"135 W River Ave Barron WI  54812-1063  ",Barron,03,Barron,715-537-5641,N/A,7156375373,stralkas@barron.k12.wi.us,www.barron.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5500870,00118,Public school
Riverview Mid,Plymouth Joint,4473,07,0120,Middle School,05,08,Todd  Hunt,Principal,300 Riverside Cir  Plymouth WI  53073,"300 Riverside Cir Plymouth WI  53073  ",Plymouth,53073,,"300 Riverside Cir Plymouth WI  53073  ",Plymouth,59,Sheboygan,920-892-4353,2002,9208925072,thunt@plymouth.k12.wi.us,www.plymouth.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5511940,01563,Public school
Riverview Sch,Waukesha,6174,01,0800,Combined Elementary/Secondary School,06,12,Luke  Pinion,Director of Pupil Services,521 Riverview Ave  Waukesha WI  53188-3636,"222 Maple Ave Waukesha WI  53186-4725  ",Waukesha,53186,4725,"521 Riverview Ave Waukesha WI  53188-3636  ",Waukesha,67,Waukesha,262-970-1484,N/A,2628968031,riverviewschool@waukesha.k12.wi.us,sdw.waukesha.k12.wi.us/domain/52,Alternative,No,No,5515780,03070,Public school
Robbins El,Eau Claire Area,1554,10,0460,Elementary School,KG,05,Jacob  Donze,Principal,3832 E Hamilton Ave  Eau Claire WI  54701-8106,"3832 E Hamilton Ave Eau Claire WI  54701-8106  ",Eau Claire,54701,8106,"3832 E Hamilton Ave Eau Claire WI  54701-8106  ",Eau Claire,18,Eau Claire,715-852-4610,N/A,7158524604,jdonze@ecasd.us,www.ecasd.us/robbins-elementary/home,Regular,No,Primarily Classroom (Supplemental Virtual),5504050,00436,Public school
Robert Kupper Lrng Ctr,Tomah Area,5747,04,0800,Combined Elementary/Secondary School,K4,12,Paul  Skofronick,Administrator,1310 Townline Rd  Tomah WI  54660-1335,"1310 Townline Rd Tomah WI  54660-1335  ",Tomah,54660,1335,"District Warehouse 1550 Townline Rd Tomah WI  54660-1335 ",Tomah,41,Monroe,608-374-7011,N/A,6083748710,paulskofronick@tomah.education,www.tomah.education,Alternative,No,Primarily Classroom (Supplemental Virtual),5514910,02543,Public school
Roberts El,Fond du Lac,1862,06,0260,Elementary School,K4,05,Michelle  Hagen,Principal,270 Candy Ln  Fond du Lac WI  54935-5300,"270 Candy Ln Fond du Lac WI  54935-5300  ",Fond du Lac,54935,5300,"270 Candy Ln Fond du Lac WI  54935-5300  ",Fond du Lac,20,Fond du Lac,920-929-2835,N/A,9209296158,hagenm@fonddulac.k12.wi.us,www.fonddulac.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504680,00502,Public school
Robinson El,Beloit,0413,02,0260,Elementary School,K4,03,Sam  Carter,Principal,1801 Cranston Rd  Beloit WI  53511-2592,"1801 Cranston Rd Beloit WI  53511-2592  ",Beloit,53511,2592,"1801 Cranston Rd Beloit WI  53511-2592  ",Beloit,53,Rock,608-361-2810,N/A,6083614122,sacarter@sdb.k12.wi.us,beloitschools.net/robinson,Regular,No,Primarily Classroom (Supplemental Virtual),5501050,00150,Public school
Robinson El,Laona,2940,08,0040,Elementary School,K4,06,Larry J Palubicki,Principal,5216 Forest Ave Ste A  Laona WI  54541-9375,"5216 Forest Ave Ste A Laona WI  54541-9375  ",Laona,54541,9375,"5216 Forest Ave Ste A Laona WI  54541-9375  ",Laona,21,Forest,715-674-2143,202,7156745904,lpalubicki@laona.k12.wi.us,www.laona.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507830,00894,Public school
Robinwood El,Franklin Public,1900,01,0100,Elementary School,PK,06,Chad  Nelson,Principal,10705 W Robinwood Ln  Franklin WI  53132-2299,"10705 W Robinwood Ln Franklin WI  53132-2299  ",Franklin,53132,2299,"10705 W Robinwood Ln Franklin WI  53132-2299  ",Franklin,40,Milwaukee,414-525-4940,N/A,4145298256,chad.nelson@franklin.k12.wi.us,www.franklin.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504830,00524,Public school
Roche-A-Cri El,Adams-Friendship Area,0014,05,0200,Elementary School,K4,05,Garret  Gould,Principal,1501 18th Ave  Arkdale WI  54613,"201 W 6th St Friendship WI  53934  ",Friendship,53934,,"1501 18th Ave Arkdale WI  54613  ",Arkdale,01,Adams,608-339-3228,1601,6085647714,irey_r@afasd.net,www.afasd.net,Regular,No,Primarily Classroom (Supplemental Virtual),5500060,00012,Public school
Rock El,Hudson,2611,11,0120,Elementary School,KG,05,Amy  Hamborg,Principal,340 13th St S  Hudson WI  54016-2099,"340 13th St S Hudson WI  54016-2099  ",Hudson,54016,2099,"340 13th St S Hudson WI  54016-2099  ",Hudson,55,Saint Croix,715-377-3840,N/A,7153773841,hamborae@hudsonraiders.org,www.hudsonraiders.org,Regular,No,Primarily Classroom (Supplemental Virtual),5506690,00731,Public school
Rock Ledge El,Seymour Community,5138,07,0060,Elementary School,K4,05,Amy  McKeefry,Principal 3-5,330 W Hickory St  Seymour WI  54165-1694,"330 W Hickory St Seymour WI  54165-1694  ",Seymour,54165,1694,"330 W Hickory St Seymour WI  54165-1694  ",Seymour,44,Outagamie,920-833-7380,200,9208339684,jinman@seymour.k12.wi.us,www.seymour.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513530,01771,Public school
Rock River Charter Sch,Janesville,2695,02,0400,High School,06,12,Lisa  Peterson,Principal,31 W Milwaukee St  Janesville WI  53548-2911,"31 W Milwaukee St Janesville WI  53548-2911  ",Janesville,53548,2911,"31 W Milwaukee St Janesville WI  53548-2911  ",Janesville,53,Rock,608-752-8273,N/A,6087528430,lpeterson@janesville.k12.wi.us,www.janesville.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5507020,01698,Public school
Rock River Intermediate,Waupun,6216,06,0110,Elementary School,02,06,Melinda  Myers,Principal,451 E Spring St  Waupun WI  53963-1198,"451 E Spring St Waupun WI  53963-1198  ",Waupun,53963,1198,"451 E Spring St Waupun WI  53963-1198  ",Waupun,20,Fond du Lac,920-324-9322,N/A,9203242929,mmyers@waupun.k12.wi.us,www.waupun.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515870,02809,Public school
Rock University Hi,Janesville,2695,02,0450,High School,10,12,Kolleen  Onsrud,Principal,Blackhawk Technical College 6004 S County Road G Janesville WI  53546-9458,"527 S Franklin St Janesville WI  53548-4779  ",Janesville,53548,4779,"527 S Franklin St Janesville WI  53548-4779  ",Janesville,53,Rock,608-743-7425,N/A,6083141172,konsrud@janesville.k12.wi.us,www.janesville.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5507020,02952,Public school
Rocketship Northside,Rocketship Northside,8002,01,8140,Elementary School,K4,05,Brittany  Kinser,Regional Director,5460 N 64th St  Milwaukee WI  53218-3020,"5460 N 64th St Milwaukee WI  53218-3020  ",Milwaukee,53218,3020,"5460 N 64th St Milwaukee WI  53218-3020  ",Milwaukee,40,Milwaukee,415-940-9350,N/A,N/A,milwaukee@rsed.org,www.rocketshipschools.org/schools/new-northside-school,Regular,Charter,Primarily Classroom (Supplemental Virtual),,,Non District Charter Schools
Rocketship Northside,Rocketship Southside Comm Prep,8002,01,8140,Elementary School,K4,05,Brittany  Kinser,Regional Director,5460 N 64th St  Milwaukee WI  53218-3020,"5460 N 64th St Milwaukee WI  53218-3020  ",Milwaukee,53218,3020,"5460 N 64th St Milwaukee WI  53218-3020  ",Milwaukee,40,Milwaukee,415-940-9350,N/A,N/A,milwaukee@rsed.org,www.rocketshipschools.org/schools/new-northside-school,Regular,Charter,Primarily Classroom (Supplemental Virtual),,,Non District Charter Schools
Rocketship Southside Comm Prep,Rocketship Northside,8002,01,8133,Elementary School,K4,05,Meredith  James,Manager of Financial Planning/Analysis,3003 W Cleveland Ave  Milwaukee WI  53215,"3003 W Cleveland Ave Milwaukee WI  53215  ",Milwaukee,53215,,"3003 W Cleveland Ave Milwaukee WI  53215  ",Milwaukee,40,Milwaukee,410-292-7380,N/A,4149188999,mjames@rsed.org,www.rocketshipschools.org/schools/southside-community-prep/,Regular,Charter,Primarily Classroom (Supplemental Virtual),,02969,Non District Charter Schools
Rocketship Southside Comm Prep,Rocketship Southside Comm Prep,8002,01,8133,Elementary School,K4,05,Meredith  James,Manager of Financial Planning/Analysis,3003 W Cleveland Ave  Milwaukee WI  53215,"3003 W Cleveland Ave Milwaukee WI  53215  ",Milwaukee,53215,,"3003 W Cleveland Ave Milwaukee WI  53215  ",Milwaukee,40,Milwaukee,410-292-7380,N/A,4149188999,mjames@rsed.org,www.rocketshipschools.org/schools/southside-community-prep/,Regular,Charter,Primarily Classroom (Supplemental Virtual),,02969,Non District Charter Schools
Rockfield El,Germantown,2058,01,0140,Elementary School,PK,05,Dana  Croatt,Principal,N132W18473 Rockfield Rd  Germantown WI  53022-1165,"N132W18473 Rockfield Rd Germantown WI  53022-1165  ",Germantown,53022,1165,"N132W18473 Rockfield Rd Germantown WI  53022-1165  ",Germantown,66,Washington,262-253-3472,N/A,2622533497,dcroatt@gsdwi.org,www.germantownschools.org,Regular,No,No,5505160,00556,Public school
Rockwell El,Fort Atkinson,1883,02,0180,Elementary School,PK,05,Jennifer  Walden,Principal,821 Monroe St  Fort Atkinson WI  53538-1099,"821 Monroe St Fort Atkinson WI  53538-1099  ",Fort Atkinson,53538,1099,"821 Monroe St Fort Atkinson WI  53538-1099  ",Fort Atkinson,28,Jefferson,920-563-7818,N/A,9205683202,roadrunner@fortschools.org,www.fortschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5504740,00514,Public school
Rocky Branch El,River Falls,4893,11,0040,Elementary School,PK,05,Charles A Eaton,Principal,1415 Bartosh Ln  River Falls WI  54022-3430,"1415 Bartosh Ln River Falls WI  54022-3430  ",River Falls,54022,3430,"1415 Bartosh Ln River Falls WI  54022-3430  ",River Falls,47,Pierce,715-425-1819,N/A,7154250599,charles.eaton@rfsd.k12.wi.us,www.rfsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513050,02448,Public school
Rogers Street Acad,Milwaukee,3619,01,0177,Elementary School,K3,08,Ramon  Cruz,Principal,2430 W Rogers St  Milwaukee WI  53204-3655,"2430 W Rogers St Milwaukee WI  53204-3655  ",Milwaukee,53204,3655,"2430 W Rogers St Milwaukee WI  53204-3655  ",Milwaukee,40,Milwaukee,414-902-1100,N/A,4149021115,318@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,02601,Public school
Rolf's Early Childhood Ctr,West Bend,6307,06,0110,Elementary School,K4,PK,Sharon  Kailas,Director,737 S 3rd Ave  West Bend WI  53095-3962,"737 S 3rd Ave West Bend WI  53095-3962  ",West Bend,53095,3962,"737 S 3rd Ave West Bend WI  53095-3962  ",West Bend,66,Washington,262-335-5409,N/A,2623355409,skailas@wbsd-schools.org,www.west-bend.k12.wi.us,Special Education,No,Primarily Classroom (Supplemental Virtual),5516290,02912,Public school
Rolling Hills El,Mukwonago,3822,01,0100,Elementary School,PK,06,Mike  Marincic,Principal,W322S9230 Beulah Rd  Mukwonago WI  53149,"W322S9230 Beulah Rd Mukwonago WI  53149  ",Mukwonago,53149,,"W322S9230 Beulah Rd Mukwonago WI  53149  ",Mukwonago,67,Waukesha,262-363-6318,N/A,2623636343,marinmi@masd.k12.wi.us,www.masd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5510060,02251,Public school
Rome Corners Intermediate,Oregon,4144,02,0200,Middle School,05,06,Jason  Zurawik,Principal,1111 S Perry Pkwy  Oregon WI  53575,"1111 S Perry Pkwy Oregon WI  53575  ",Oregon,53575,,"1111 S Perry Pkwy Oregon WI  53575  ",Oregon,13,Dane,608-835-4701,N/A,6088352704,jtzurawik@oregonsd.net,www.oregonsd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5511100,02524,Public school
Ronald R Albrecht El,Brodhead,0700,02,0020,Elementary School,K4,05,David  Novy,Principal,1400 21st St  Brodhead WI  53520-2067,"1400 21st St Brodhead WI  53520-2067  ",Brodhead,53520,2067,"1400 21st St Brodhead WI  53520-2067  ",Brodhead,23,Green,608-897-2146,N/A,6088972212,dnovy@brodhead.k12.wi.us,www.brodhead.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5501740,00211,Public school
Ronald Reagan El,New Berlin,3925,01,0100,Elementary School,PK,06,Brady  Reinke,Principal,4225 S Calhoun Rd  New Berlin WI  53151-5531,"4225 S Calhoun Rd New Berlin WI  53151-5531  ",New Berlin,53151,5531,"4225 S Calhoun Rd New Berlin WI  53151-5531  ",New Berlin,67,Waukesha,262-789-6555,N/A,2627896205,brady.reinke@nbexcellence.org,www.nbexcellence.org,Regular,No,Primarily Classroom (Supplemental Virtual),5510470,02667,Public school
Roosevelt El,Eau Claire Area,1554,10,0480,Elementary School,KG,05,Ben  Dallman,Principal,3010 8th St  Eau Claire WI  54703-1598,"3010 8th St Eau Claire WI  54703-1598  ",Eau Claire,54703,1598,"3010 8th St Eau Claire WI  54703-1598  ",Eau Claire,18,Eau Claire,715-852-4710,N/A,7158524704,bdallman@ecasd.us,www.ecasd.us/roosevelt-elementary/home,Regular,No,Primarily Classroom (Supplemental Virtual),5504050,00437,Public school
Roosevelt El,Janesville,2695,02,0320,Elementary School,K4,05,Stacy  Petersen,Principal,316 S Ringold St  Janesville WI  53545-4198,"316 S Ringold St Janesville WI  53545-4198  ",Janesville,53545,4198,"316 S Ringold St Janesville WI  53545-4198  ",Janesville,53,Rock,608-743-7005,N/A,6087437010,tdubanowich@janesville.k12.wi.us,www.janesville.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5507020,00773,Public school
Roosevelt El,Kenosha,2793,01,0460,Elementary School,K4,05,Jered  Kotarak,Principal,3322 Roosevelt Rd  Kenosha WI  53142-3935,"3322 Roosevelt Rd Kenosha WI  53142-3935  ",Kenosha,53142,3935,"3322 Roosevelt Rd Kenosha WI  53142-3935  ",Kenosha,30,Kenosha,262-359-6097,N/A,2623596107,jkotarak@kusd.edu,www.kusd.edu,Regular,No,Primarily Classroom (Supplemental Virtual),5507320,00823,Public school
Roosevelt El,Neenah Joint,3892,06,0200,Elementary School,KG,05,Diane  Luft,Principal,215 E Forest Ave  Neenah WI  54956-2797,"215 E Forest Ave Neenah WI  54956-2797  ",Neenah,54956,2797,"215 E Forest Ave Neenah WI  54956-2797  ",Neenah,70,Winnebago,920-751-6970,18101,9207516861,dluft@neenah.k12.wi.us,www.neenah.k12.wi.us,Regular,No,No,5510320,01350,Public school
Roosevelt El,Oshkosh Area,4179,06,0360,Elementary School,KG,05,Kristin  Burgert,Principal,910 N Sawyer St  Oshkosh WI  54902-3300,"910 N Sawyer St Oshkosh WI  54902-3300  ",Oshkosh,54902,3300,"910 N Sawyer St Oshkosh WI  54902-3300  ",Oshkosh,70,Winnebago,920-424-0411,N/A,9204247593,kristin.burgert@oshkosh.k12.wi.us,www.oshkosh.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5511190,01499,Public school
Roosevelt El,Racine Unified,4620,01,0154,Elementary School,K4,05,Gabriel  Lopez Jaurequi,Principal,915 Romayne Ave  Racine WI  53402,"915 Romayne Ave Racine WI  53402  ",Racine,53402,,"915 Romayne Ave Racine WI  53402  ",Racine,51,Racine,262-664-8300,N/A,2626648310,gabriel.lopezjauregui@rusd.org,www.rusd.org,Regular,No,Primarily Classroom (Supplemental Virtual),5512360,01637,Public school
Roosevelt El,Stevens Point Area Public,5607,05,0260,Elementary School,PK,06,Kelly  Snyder-Chase,Principal,2200 Wisconsin Ave  Plover WI  54467-9355,"2200 Wisconsin Ave Plover WI  54467-9355  ",Plover,54467,9355,"2200 Wisconsin Ave Plover WI  54467-9355  ",Plover,49,Portage,715-345-5425,N/A,7153457347,ksnyder@pointschools.net,www.pointschools.net,Regular,No,Primarily Classroom (Supplemental Virtual),5514490,01879,Public school
